created_at,text,year
2018-10-10 17:21:00,Continuing our theme on #nonprofit planning for 2019: Planning for board transitions https://t.co/mWeLOludW6 - including a special Mission Minute from @DE_Nonprofit on the importance of board chairs https://t.co/Mk7blqt2ZF,2018
2018-10-10 15:19:00,"In today's #Nonprofit Knowledge Matters, we're looking at planning ahead for 2019. First up: Planning Your Nonprofit’s Communications in an Ever-Changing World https://t.co/4tEVFz3DIj https://t.co/E5KOMbV5mQ",2018
2018-10-10 14:39:51,Proud to be a partner of @BJContheHill! https://t.co/R98sgL7cxt,2018
2018-10-10 14:16:32,Thinking of everyone in the path of #HurricaneMichael. Please be safe. Good tips here from @VolunteerFla https://t.co/ujKKCCjluA,2018
2018-10-09 18:09:56,"New report from @WPIinsights ""Charitable Giving Around the 2016 Election: Does Gender Matter?""
examines how the 2016 election influenced women and men giving to #nonprofits  https://t.co/Qxrr4zZuzk #womensphilanthropy #philanthropy https://t.co/z6FR8Fg5zP",2018
2018-10-09 14:35:03,"In a guest post for @npconnect, our own @DavidLThompson6 looks at #nonprofits and Acts of Nature vs. Acts of Public Officials https://t.co/0Ogrl4ZPZn https://t.co/dpim2MJxHk",2018
2018-10-03 18:16:26,Bravo to @SmartNonprofits @ndnonprofits @ncnonprofits and @WaNonprofits! https://t.co/KnRfxIDlF5,2018
2018-10-03 14:33:25,Exciting news for Vermont's #nonprofits https://t.co/SqnCodzGrT,2018
2018-10-02 23:04:50,Wow! Amazing results! Don't forget that voter registration efforts can still continue in many states. Then efforts turn to making sure everyone exercises their right to vote. https://t.co/7YTqLUEmgN,2018
2018-10-02 18:57:00,"Thanks @RonWyden for speaking up to protect the #JohnsonAmendment and calling on new @IRSnews Commissioner Rettig to do the same: https://t.co/0AQIxhvMn7 h/t @politico Nonpartisanship is vital to the work of #nonprofits, including houses of worship.",2018
2018-10-02 17:34:57,"With #NationalVoterRegistrationDay complete, is your #nonprofit ready to get out the vote? Join @NpVOTE on Thursday, October 11 to plan your GOTV campaign: 
https://t.co/MVbZLqiH9q",2018
2018-10-02 17:29:38,Powerful new report on the power of participatory grantmaking https://t.co/Io7b3tujga,2018
2018-10-01 16:26:07,"Latest on state #tax credits, donor disclosure, recovery from #HurricaneFlorence, #SALT workarounds, and more in today's #Nonprofit Advocacy Matters https://t.co/RB6GlFsLJl",2018
2018-09-28 13:41:10,Successful Program Collaboration — How #Nonprofits Can Get Started via @MissionBoxPower https://t.co/tGcimrkfHn,2018
